query,intent,brand,model,year,sensor
status of Traction battery collection in Zeekr,system_status_check,Zeekr,007,2024,Traction battery
bad data points in Vision system S90,anomaly_info,Volvo,S90,2025,Vision system
same info but for Polestar Polestar 5,contextual_followups,Polestar,Polestar 5,2026,ADAS Camera
when stop ADAS Camera for Polestar?,temporal_stats,Polestar,Polestar 4,2024,ADAS Camera
difference in can-fd data for lotus vs lotus,comparative_analysis,Lotus,Evija,2023,CAN-FD
TPMS performance Zeekr vs Zeekr,comparative_analysis,Zeekr,007,2023,TPMS
Show me outliers for Trunk sensor in Polestar 5,anomaly_info,Polestar,Polestar 5,2025,Trunk sensor
compare Tyre Pressure between Polestar 2 and Polestar 4,comparative_analysis,Polestar,Polestar 2,2022,Tyre Pressure
why CANBUS collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2024,CANBUS
is bonnet sensor data stream broken for 7x,system_status_check,Zeekr,7X,2025,Bonnet sensor
qbnormal CANBUS readings 09 Ultra,anomaly_info,Lynk & Co,09 Ultra,2023,CANBUS
who updated Trunk sensor database last?,access_governance,Volvo,S90,2022,Trunk sensor
what is highest/lowest Control Network?,statistical_query,Jiyue,07,2025,Control Network
what about tpms on the evija,contextual_followups,Lotus,Evija,2024,TPMS
last update time for LIDAR,temporal_stats,Volvo,EM90,2025,LIDAR
doex Boot latch sensor need HEAD acoustics for collection?,collection_method,Volvo,S90,2020,Boot latch sensor
why we use MDF4 for Lidar?,data_definition,Geely Auto,Galaxy L7,2024,Lidar
check Lynk & Co High Voltage battery database health,system_status_check,Lynk & Co,01,2020,High Voltage battery
most freq CAN-FD value,statistical_query,Lynk & Co,05,2021,CAN-FD
how long we have Vision system data for EX30?,temporal_stats,Volvo,EX30,2026,Vision system
does Bonnet sensor need Roof-mounted rig for collection?,collection_method,Geely Auto,Panda Mini,2024,Bonnet sensor
same info but for lotus eletre,contextual_followups,Lotus,Eletre,2024,Acoustics
what Noise and Vibration means for car 09 Ultra?,data_definition,Lynk & Co,09 Ultra,2023,Noise and Vibration
give me Acoustics max min 4,statistical_query,Polestar,Polestar 4,2025,Acoustics
peak values CAN-FD 07 last week,statistical_query,Jiyue,07,2024,CAN-FD
outlier reason for Bonnet sensor logs,anomaly_info,Volvo,V60 Recharge,2024,Bonnet sensor
pull HV battery history for Polestar 5,imperative_commands,Polestar,Polestar 5,2026,HV battery
when stop Control Network for Polestar?,temporal_stats,Polestar,Polestar 2,2021,Control Network
What types of LIDAR data are available for Zeekr 007?,data_definition,Zeekr,007,2024,LIDAR
frrquency of Trunk sensor errors Polestar,anomaly_info,Polestar,Polestar 2,2020,Trunk sensor
frequency of Lidar errors Zeekr,anomaly_info,Zeekr,Mix,2024,Lidar
Show me outliers for CAN-FD in 09 Ultra,anomaly_info,Lynk & Co,09 Ultra,2024,CAN-FD
does tire pressure need canoe hardware for collection,collection_method,Lynk & Co,08 EM-P,2025,Tire Pressure
first time High Voltage battery was used in Polestar?,temporal_stats,Polestar,Polestar 5,2026,High Voltage battery
most freq NVH value,statistical_query,Polestar,Polestar 4,2024,NVH
pull high voltage battery history for 007,imperative_commands,Zeekr,007,2023,High Voltage battery
abnormal Tire Pressure readings 09 Ultra,anomaly_info,Lynk & Co,09 Ultra,2023,Tire Pressure
how High Voltage battery works in Polestar Polestar 3?,data_definition,Polestar,Polestar 3,2025,High Voltage battery
explain Hood sensor context in Emira,data_definition,Lotus,Emira,2023,Hood sensor
why high voltage battery spikes in geely auto,anomaly_info,Geely Auto,Panda Mini,2023,High Voltage battery
what about HV battery on the 09 Ultra?,contextual_followups,Lynk & Co,09 Ultra,2024,HV battery
is Acoustics data stream broken for 007?,system_status_check,Zeekr,007,2024,Acoustics
identify Vision system anomalies Polestar,anomaly_info,Polestar,Polestar 4,2025,Vision system
who owns the NVH dataset?,access_governance,Lynk & Co,01,2019,NVH
identify Boot latch sensor anomalies Volvo,anomaly_info,Volvo,XC90,2025,Boot latch sensor
permission for 08 EM-P NVH data,access_governance,Lynk & Co,08 EM-P,2023,NVH
why Vision system collection discontinued X?,temporal_stats,Zeekr,X,2023,Vision system
what is LIDAR for Jiyue?,data_definition,Jiyue,01,2024,LIDAR
what about Tyre Pressure on the Mix?,contextual_followups,Zeekr,Mix,2025,Tyre Pressure
Show me outliers for TPMS in Eletre,anomaly_info,Lotus,Eletre,2023,TPMS
who owns the Trunk sensor dataset?,access_governance,Volvo,S90,2017,Trunk sensor
is XC90 High Voltage battery streaming?,collection_method,Volvo,XC90,2022,High Voltage battery
get me high voltage battery stats for 07,imperative_commands,Jiyue,07,2024,High Voltage battery
check lotus tyre pressure database health,system_status_check,Lotus,Emeya,2025,Tyre Pressure
why ADAS Camera data jump so much?,anomaly_info,Geely Auto,Panda Mini,2024,ADAS Camera
get me Traction battery stats for Starray,imperative_commands,Geely Auto,Starray,2023,Traction battery
why Bonnet sensor data jump so much?,anomaly_info,Lynk & Co,01,2025,Bonnet sensor
Lidar description Polestar Polestar 5,data_definition,Polestar,Polestar 5,2025,Lidar
why Control Network data jump so much?,anomaly_info,Lotus,Emira,2023,Control Network
frequency of ADAS Camera errors Zeekr,anomaly_info,Zeekr,X,2024,ADAS Camera
Autonomous sensor performance Volvo vs Volvo,comparative_analysis,Volvo,XC60,2020,Autonomous sensor
production vehicle logs for Geely Auto CAN-FD?,collection_method,Geely Auto,Panda Mini,2024,CAN-FD
peak values ADAS Camera 08 EM-P last week,statistical_query,Lynk & Co,08 EM-P,2025,ADAS Camera
mean Autonomous sensor across Jiyue fleet,statistical_query,Jiyue,07,2025,Autonomous sensor
identify TPMS anomalies Volvo,anomaly_info,Volvo,S90,2022,TPMS
how is Trunk sensor data gathered for Polestar?,collection_method,Polestar,Polestar 5,2025,Trunk sensor
difference in Vision system data for Jiyue vs Lotus,comparative_analysis,Jiyue,01,2025,Vision system
who is owner ADAS Camera data?,access_governance,Lynk & Co,Z10,2025,ADAS Camera
is HV battery still being recorded for XC90?,temporal_stats,Volvo,XC90,2020,HV battery
common range for ADAS Camera in Geely Auto,statistical_query,Geely Auto,Panda Mini,2023,ADAS Camera
show volvo lidar owner now,imperative_commands,Volvo,EX30,2024,LiDAR
trll me more about HV battery context,contextual_followups,Lotus,Evija,2022,HV battery
CANBUS performance Volvo vs Volvo,comparative_analysis,Volvo,EX30,2023,CANBUS
what is CANBUS for Geely Auto?,data_definition,Geely Auto,Coolray,2019,CANBUS
what LIDAR means for car S90?,data_definition,Volvo,S90,2021,LIDAR
status of Acoustics collection in Lotus,system_status_check,Lotus,Emeya,2025,Acoustics
does HV battery need HEAD acoustics for collection?,collection_method,Jiyue,01,2024,HV battery
request access to Starray Bonnet sensor,access_governance,Geely Auto,Starray,2025,Bonnet sensor
tell me more about noise and vibration context,contextual_followups,Zeekr,7X,2024,Noise and Vibration
does Tyre Pressure need Kistler Wheels for collection?,collection_method,Zeekr,X,2024,Tyre Pressure
CANBUS performance Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Galaxy L7,2023,CANBUS
special attachments for Emeya HV battery?,collection_method,Lotus,Emeya,2024,HV battery
any issurs with LiDAR logs today?,system_status_check,Lotus,Evija,2020,LiDAR
who working on Zeekr HV battery right now?,access_governance,Zeekr,7X,2025,HV battery
find outliers in Tire Pressure dataset,imperative_commands,Zeekr,007,2023,Tire Pressure
responsible person for Control Network Lotus,access_governance,Lotus,Emeya,2025,Control Network
who owns the Lidar dataset?,access_governance,Lotus,Emeya,2025,Lidar
LIDAR performance Lotus vs Lotus,comparative_analysis,Lotus,Evija,2024,LIDAR
definition of Autonomous sensor telemetry Lotus,data_definition,Lotus,Eletre,2023,Autonomous sensor
must use OBD-II logger for Jiyue data?,collection_method,Jiyue,01,2023,Noise and Vibration
contact for 07 Tyre Pressure access,access_governance,Jiyue,07,2025,Tyre Pressure
what about Bonnet sensor on the Eletre?,contextual_followups,Lotus,Eletre,2024,Bonnet sensor
what about NVH on the 01?,contextual_followups,Lynk & Co,01,2025,NVH
common range for Control Network in Lynk & Co,statistical_query,Lynk & Co,01,2022,Control Network
last update time for can-fd,temporal_stats,Jiyue,07,2024,CAN-FD
check Volvo Bonnet sensor database health,system_status_check,Volvo,XC60,2019,Bonnet sensor
who updqted CANBUS database last?,access_governance,Geely Auto,Panda Mini,2025,CANBUS
show High Voltage battery owner now,imperative_commands,Zeekr,009,2025,High Voltage battery
is Trunk sensor more accurate in S90 or S90?,comparative_analysis,Volvo,S90,2023,Trunk sensor
Autonomous sensor history Jiyue,temporal_stats,Jiyue,07,2025,Autonomous sensor
same info but for 2,contextual_followups,Polestar,Polestar 2,2023,Noise and Vibration
is LIDAR data stream broken for 001?,system_status_check,Zeekr,001,2021,LIDAR
what about NVH on the Z10?,contextual_followups,Lynk & Co,Z10,2024,NVH
find outliers in Traction battery dataset,imperative_commands,Zeekr,Mix,2025,Traction battery
Trunk sensor performance Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Coolray,2024,Trunk sensor
must use obd-ii logger for zeekr data,collection_method,Zeekr,Mix,2025,Tyre Pressure
show Lynk & Co NVH owner now,imperative_commands,Lynk & Co,Z10,2025,NVH
difference in Traction battery data for Polestar vs Polestar,comparative_analysis,Polestar,Polestar 2,2021,Traction battery
stqtus of Boot latch sensor collection in Lynk & Co,system_status_check,Lynk & Co,01,2024,Boot latch sensor
must use Data logger unit for Polestar data?,collection_method,Polestar,Polestar 3,2024,Tire Pressure
since when Acoustics collected Lynk & Co?,temporal_stats,Lynk & Co,05,2025,Acoustics
is Traction battery data stream broken for Emigrant?,system_status_check,Geely Auto,Emigrant,2023,Traction battery
collected after release for Galaxy L7?,collection_method,Geely Auto,Galaxy L7,2024,Hood sensor
what types of lidar data are available for lotus emeya,data_definition,Lotus,Emeya,2025,LiDAR
show Zeekr Bonnet sensor owner now,imperative_commands,Zeekr,009,2025,Bonnet sensor
is Traction battery real-time or offline?,collection_method,Lotus,Eletre,2024,Traction battery
since when Traction battery collected Lynk & Co?,temporal_stats,Lynk & Co,08 EM-P,2023,Traction battery
TPMS glitching on Eletre?,anomaly_info,Lotus,Eletre,2023,TPMS
What are the peaks of Trunk sensor in 009?,statistical_query,Zeekr,009,2023,Trunk sensor
check Volvo CANBUS database health,system_status_check,Volvo,S90,2018,CANBUS
definition of CANBUS telemetry Lynk & Co,data_definition,Lynk & Co,01,2025,CANBUS
frequency of acoustics errors jiyue,anomaly_info,Jiyue,07,2024,Acoustics
frequency of Lidar errors Lynk & Co,anomaly_info,Lynk & Co,Z10,2025,Lidar
who working on zeekr hood sensor right now,access_governance,Zeekr,009,2024,Hood sensor
status of tpms collection in lotus,system_status_check,Lotus,Eletre,2024,TPMS
permission for 05 NVH data,access_governance,Lynk & Co,05,2023,NVH
roof rig needed for can-fd,collection_method,Polestar,Polestar 3,2025,CAN-FD
first time NVH was used in Jiyue?,temporal_stats,Jiyue,07,2024,NVH
find outliers in Control Network dataset,imperative_commands,Jiyue,01,2023,Control Network
is HV battery real-time or offline?,collection_method,Volvo,S90,2023,HV battery
os LIDAR more accurate in Eletre or Emira?,comparative_analysis,Lotus,Eletre,2024,LIDAR
NVH glitching on Z10?,anomaly_info,Lynk & Co,Z10,2024,NVH
same info but for Zeekr 007,contextual_followups,Zeekr,007,2024,NVH
abnormal Vision system readings 07,anomaly_info,Jiyue,07,2025,Vision system
request access to Galaxy L7 Bonnet sensor,access_governance,Geely Auto,Galaxy L7,2024,Bonnet sensor
01 Tyre Pressure data type?,data_definition,Jiyue,01,2023,Tyre Pressure
explain Trunk sensor context in 01,data_definition,Lynk & Co,01,2020,Trunk sensor
for 01 what nvh info exists,data_definition,Jiyue,01,2024,NVH
give me HV battery max min 7X,statistical_query,Zeekr,7X,2024,HV battery
any issues with Acoustics logs today?,system_status_check,Zeekr,001,2021,Acoustics
LIDAR performance Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,08 EM-P,2023,LIDAR
Hood sensor history Jiyue,temporal_stats,Jiyue,01,2023,Hood sensor
is High Voltage battery data stream broken for Polestar 5?,system_status_check,Polestar,Polestar 5,2025,High Voltage battery
any ossues with High Voltage battery logs today?,system_status_check,Lotus,Emeya,2025,High Voltage battery
who owns the TPMS dataset?,access_governance,Geely Auto,Geometry E,2023,TPMS
what types of canbus data are available for polestar polestar 2,data_definition,Polestar,Polestar 2,2020,CANBUS
check Lotus Vision system database health,system_status_check,Lotus,Emeya,2025,Vision system
why hood sensor collection discontinued xc90,temporal_stats,Volvo,XC90,2023,Hood sensor
any issues with Tire Pressure logs today?,system_status_check,Polestar,Polestar 4,2025,Tire Pressure
check Lynk & Co Traction battery database health,system_status_check,Lynk & Co,08 EM-P,2025,Traction battery
is lidar more accurate in 03 tcr or 03 tcr,comparative_analysis,Lynk & Co,03 TCR,2023,Lidar
is Hood sensor still being recorded for Emira?,temporal_stats,Lotus,Emira,2022,Hood sensor
who updated Vision system database last?,access_governance,Lotus,Emira,2025,Vision system
give me NVH max min Evija,statistical_query,Lotus,Evija,2025,NVH
same info but for Lynk & Co Z10,contextual_followups,Lynk & Co,Z10,2024,CANBUS
is Tire Pressure more accurate in EX90 or 01?,comparative_analysis,Volvo,EX90,2024,Tire Pressure
pull tire pressure history for panda mini,imperative_commands,Geely Auto,Panda Mini,2024,Tire Pressure
give me Boot latch sensor max min Geometry E,statistical_query,Geely Auto,Geometry E,2023,Boot latch sensor
any issues with Trunk sensor logs today?,system_status_check,Geely Auto,Coolray,2018,Trunk sensor
who updated High Voltage battery database last?,access_governance,Lynk & Co,09 Ultra,2021,High Voltage battery
is CANBUS real-time or offline?,collection_method,Polestar,Polestar 2,2024,CANBUS
first time canbus was used in volvo,temporal_stats,Volvo,EM90,2024,CANBUS
tell me more about ADAS Camera context,contextual_followups,Jiyue,01,2023,ADAS Camera
start date for Autonomous sensor logs 007,temporal_stats,Zeekr,007,2025,Autonomous sensor
why stop? (LiDAR),contextual_followups,Geely Auto,Geometry E,2025,LiDAR
compare Autonomous sensor between 01 and Eletre,comparative_analysis,Jiyue,01,2025,Autonomous sensor
difference in Hood sensor data for Volvo vs Lotus,comparative_analysis,Volvo,V60 Recharge,2024,Hood sensor
is Boot latch sensor more accurate in 01 or Evija?,comparative_analysis,Jiyue,01,2025,Boot latch sensor
check Lynk & Co Autonomous sensor database health,system_status_check,Lynk & Co,Z10,2025,Autonomous sensor
what about Noise and Vibration on the Emigrant?,contextual_followups,Geely Auto,Emigrant,2023,Noise and Vibration
tell me more about CAN-FD context,contextual_followups,Jiyue,01,2024,CAN-FD
is Vision systrm still being recorded for XC60?,temporal_stats,Volvo,XC60,2018,Vision system
compare LIDAR between V60 Recharge and V60 Recharge,comparative_analysis,Volvo,V60 Recharge,2022,LIDAR
avg value for Vision system Polestar 5,statistical_query,Polestar,Polestar 5,2026,Vision system
autonomous sensor description polestar polestar 2,data_definition,Polestar,Polestar 2,2023,Autonomous sensor
why HV battery spikes in Zeekr?,anomaly_info,Zeekr,7X,2024,HV battery
find outliers in TPMS dataset,imperative_commands,Jiyue,07,2025,TPMS
any issues with Tyre Pressure logs today?,system_status_check,Zeekr,X,2025,Tyre Pressure
to whom i speak for Lidar access?,access_governance,Geely Auto,Galaxy L7,2025,Lidar
why Vision system collection discontinued 01?,temporal_stats,Jiyue,01,2025,Vision system
since when ADAS Camera collected Geely Auto?,temporal_stats,Geely Auto,Panda Mini,2024,ADAS Camera
pull Tire Pressure history for 01,imperative_commands,Jiyue,01,2024,Tire Pressure
most freq tyre pressure value,statistical_query,Volvo,EM90,2025,Tyre Pressure
what about Traction battery on the Z10?,contextual_followups,Lynk & Co,Z10,2025,Traction battery
